FILE	 Wves_predicted	 Wves_actual	 coherence	 thresh_predicted	 thresh_actual_d0	 coherence	 thresh_actual_all	 thresh_actual_pm	 bias_delta0	 Wves_actual_minus	 Wves_actual_plus
m19c0r68.htb	0.089	0.37	95	0.882	2.552	95	2.106	1.883	2.421	0.544	0.195
m18c0r225.htb	0.208	0.345	32	1.589	1.156	32	1.256	1.306	0.135	0.263	0.427
m18c0r225.htb	0.062	0.121	90	0.865	1.069	90	0.805	0.674	0.396	0.208	0.033
m19c0r69.htb	0.236	0.885	24	1.702	1.627	24	2.395	2.779	-2.27	0.927	0.844
m19c0r69.htb	0.101	0.293	100	1.114	1.641	100	1.342	1.192	0.873	0.292	0.294
m18c0r226.htb	0.118	0.34	32	1.022	1.638	32	1.337	1.186	0.212	0.312	0.367
m18c0r226.htb	0.086	0.126	90	0.872	1.049	90	0.806	0.685	0.217	0.179	0.073
m19c0r70.htb	0.253	0.742	24	1.512	2.359	24	2.193	2.11	-0.239	0.703	0.78
m19c0r71.htb	0.217	0.162	100	1.127	1.152	100	1.574	1.785	0.846	0.269	0.054
m18c0r227.htb	0.386	0.725	14	2.325	3.385	14	3.518	3.585	1.492	0.674	0.777
m18c0r227.htb	0.068	0.094	100	0.977	1.962	100	1.34	1.029	-0.024	0.031	0.156
m19c0r72.htb	0.312	0.779	24	1.857	2.028	24	2.353	2.515	-0.097	0.737	0.82
m19c0r73.htb	0.113	0.754	24	1.105	2.185	24	2.146	2.126	-0.62	1.239	0.268
m19c0r73.htb	0.087	0.225	96	0.97	1.499	96	1.145	0.968	0.036	0.471	-0.021
m19c0r74.htb	0.087	0.879	24	0.902	2.116	24	1.959	1.881	0.133	1.15	0.608
m19c0r74.htb	0.057	0.389	96	0.726	1.041	96	1.119	1.158	0.62	0.666	0.112
m19c0r75.htb	0.5	0.863	12	2.647	2.461	12	2.657	2.755	1.012	1.037	0.689
m19c0r75.htb	0.057	0.681	48	0.89	1.214	48	1.537	1.698	0.816	0.464	0.899
m19c0r77.htb	0.133	0.745	24	1.516	1.873	24	1.939	1.972	1.154	0.769	0.722
m19c0r77.htb	0.082	0.491	48	1.188	1.165	48	1.046	0.987	1.084	0.462	0.521
m19c0r77.htb	0.133	0.745	24	1.516	1.873	24	1.939	1.972	1.154	0.769	0.722
m19c0r77.htb	0.082	0.491	48	1.188	1.165	48	1.046	0.987	1.084	0.462	0.521
m18c0r228.htb	0.451	0.882	12	2.469	2.668	12	2.843	2.931	0.02	0.929	0.836
m18c0r228.htb	0.059	0.033	100	0.894	0.892	100	0.998	1.052	0.316	0.142	-0.075
m18c0r228.htb	0.451	0.882	12	2.469	2.668	12	2.843	2.931	0.02	0.929	0.836
m18c0r228.htb	0.059	0.033	100	0.894	0.892	100	0.998	1.052	0.316	0.142	-0.075
m19c0r78.htb	0.572	0.767	12	2.676	2.308	12	2.375	2.409	0.135	0.896	0.637
m19c0r78.htb	0.102	0.673	24	1.128	3.133	24	2.84	2.694	-0.117	0.848	0.497
m18c0r229.htb	0.762	0.901	12	2.016	1.861	12	2.488	2.801	1.656	0.993	0.809
m18c0r229.htb	0.127	0.096	90	0.823	0.544	90	0.769	0.881	0.355	0.188	0.004
m19c0r79.htb	0.123	0.626	48	1.056	1.261	48	1.555	1.702	-0.035	0.834	0.417
m19c0r79.htb	0.081	0.289	96	0.858	1.303	96	1.327	1.339	0.286	0.326	0.252
m24c21r2.htb	0.8	0.847	15	2.811	2.935	15	2.907	2.893	-0.246	0.984	0.711
m24c21r2.htb	0.058	0.032	60	0.756	1.097	60	0.975	0.914	0.287	-0.043	0.106
m19c0r80.htb	0.639	0.665	24	0.989	1.679	24	1.903	2.015	1.21	0.708	0.623
m19c0r80.htb	0.402	0.252	96	0.785	0.733	96	1.219	1.462	-0.13	0.362	0.143
m19c0r80.htb	0.639	0.665	24	0.989	1.679	24	1.903	2.015	1.21	0.708	0.623
m19c0r80.htb	0.402	0.252	96	0.785	0.733	96	1.219	1.462	-0.13	0.362	0.143
m19c0r81.htb	0.445	0.784	12	1.905	2.254	12	2.489	2.606	-0.565	0.563	1.005
m19c0r81.htb	0.074	0.486	48	0.775	1.667	48	1.392	1.254	0.339	0.927	0.045
m19c0r82.htb	0.389	0.94	12	2.019	2.261	12	2.18	2.139	-0.339	0.854	1.026
m19c0r82.htb	0.022	0.406	48	0.483	1.442	48	1.57	1.634	-0.155	0.431	0.381
m13c0r693.htb	0.644	0.886	20	1.776	1.39	20	2.128	2.497	-0.317	0.9	0.871
m13c0r693.htb	0.325	0.689	50	1.262	2.108	50	2.163	2.19	-0.902	0.646	0.732
m24c29r2.htb	0.782	0.856	15	2.075	2.327	15	2.638	2.793	-1.306	1.255	0.458
m24c29r2.htb	0.293	0.036	60	1.27	1.128	60	1.462	1.63	-0.265	-0.082	0.153
m24c29r2.htb	0.782	0.856	15	2.075	2.327	15	2.638	2.793	-1.306	1.255	0.458
m24c29r2.htb	0.293	0.036	60	1.27	1.128	60	1.462	1.63	-0.265	-0.082	0.153
m19c0r83.htb	0.448	0.951	12	2.304	3.013	12	2.214	1.815	1.149	0.992	0.909
m19c0r83.htb	0.073	0.318	96	0.929	0.871	96	1.018	1.092	-0.731	0.404	0.233
m13c0r694.htb	0.723	0.919	20	1.571	1.948	20	1.818	1.753	0.773	0.849	0.989
m13c0r694.htb	0.348	0.397	70	1.09	0.813	70	1.193	1.384	0.283	0.472	0.322
m19c0r84.htb	0.306	0.514	24	1.519	2.186	24	1.504	1.163	-0.521	0.53	0.499
m19c0r84.htb	0.153	0.329	48	1.074	0.925	48	1.096	1.181	-0.219	0.375	0.284
m19c0r84.htb	0.306	0.514	24	1.519	2.186	24	1.504	1.163	-0.521	0.53	0.499
m19c0r84.htb	0.153	0.329	48	1.074	0.925	48	1.096	1.181	-0.219	0.375	0.284
m24c36r2.htb	0.817	0.864	18	2.043	3.89	18	3.076	2.668	-2.8	0.597	1.132
m24c36r2.htb	0.235	0.078	60	1.096	0.993	60	1.19	1.289	-0.098	-0.129	0.284
m24c36r2.htb	0.781	0.925	18	2.286	4.287	18	3.415	2.979	-2.398	0.662	1.188
m24c36r2.htb	0.256	0.068	60	1.309	1.147	60	1.341	1.438	-0.141	-0.22	0.355
m24c36r2.htb	0.781	0.925	18	2.286	4.287	18	3.415	2.979	-2.398	0.662	1.188
m24c36r2.htb	0.256	0.068	60	1.309	1.147	60	1.341	1.438	-0.141	-0.22	0.355
m24c36r2.htb	0.792	0.939	18	2.457	4.407	18	3.213	2.616	-2.406	0.552	1.327
m24c36r2.htb	0.223	0.092	60	1.305	1.295	60	1.207	1.163	-0.248	-0.197	0.38
m19c0r85.htb	0.807	0.718	12	1.713	3.186	12	2.373	1.967	0.271	0.726	0.709
m19c0r85.htb	0.452	0.525	24	1.282	1.705	24	2.002	2.15	0.39	0.581	0.47
m24c37r2.htb	0.626	0.718	18	2.533	2.847	18	2.482	2.299	-0.739	0.724	0.712
m24c37r2.htb	0.08	0.083	60	0.908	0.646	60	0.906	1.035	0.414	0.008	0.157
m19c0r86.htb	0.109	0.275	48	0.947	1.246	48	1.327	1.367	0.457	0.396	0.153
m19c0r86.htb	0.168	0.254	96	1.177	1.049	96	1.006	0.985	-0.461	0.333	0.175
m13c0r695.htb	0.901	0.905	20	2.483	1.083	20	2.139	2.666	0.805	0.846	0.965
m13c0r695.htb	0.263	0.644	70	1.342	1.921	70	1.586	1.419	0.51	0.585	0.704
m13c0r696.htb	0.916	0.747	20	1.981	2.273	20	1.841	1.625	2.793	0.953	0.542
m13c0r696.htb	0.42	0.671	70	1.342	2.063	70	1.764	1.615	2.35	0.949	0.393
m13c0r697.htb	0.826	0.751	20	1.726	2.407	20	2.17	2.052	-0.607	0.722	0.78
m13c0r697.htb	0.256	0.468	70	0.96	1.335	70	1.055	0.915	-0.503	0.428	0.507
m13c0r697.htb	0.766	0.759	20	1.742	2.633	20	2.272	2.091	-0.977	0.701	0.817
m13c0r697.htb	0.158	0.486	70	0.792	1.386	70	1.085	0.934	-0.764	0.392	0.581
m19c0r87.htb	0.411	0.528	24	1.691	0.682	24	1.795	2.351	1.649	0.543	0.513
m19c0r87.htb	0.095	0.227	96	0.815	1.353	96	1.087	0.954	0.576	0.224	0.229
m19c0r87.htb	0.411	0.528	24	1.691	0.682	24	1.795	2.351	1.649	0.543	0.513
m19c0r87.htb	0.095	0.227	96	0.815	1.353	96	1.087	0.954	0.576	0.224	0.229
m24c38r2.htb	0.806	0.773	16	3.547	2.907	16	2.653	2.526	-1.865	0.763	0.784
m24c38r2.htb	0.205	0.016	60	1.787	1.082	60	1.197	1.254	0.676	0.1	-0.068
m24c38r2.htb	0.806	0.773	16	3.547	2.907	16	2.653	2.526	-1.865	0.763	0.784
m24c38r2.htb	0.205	0.016	60	1.787	1.082	60	1.197	1.254	0.676	0.1	-0.068
m13c0r698.htb	0.596	0.99	20	1.896	2.516	20	2.707	2.802	-1.363	0.747	1.233
m13c0r698.htb	0.14	0.506	70	0.919	1.382	70	1.311	1.275	-0.177	0.668	0.344
m19c0r88.htb	0.727	0.77	12	2.105	3.132	12	2.746	2.552	0.157	0.708	0.832
m19c0r88.htb	0.043	0.184	48	0.511	1.061	48	1.081	1.091	0.411	0.142	0.225
m13c0r701.htb	0.627	0.856	20	2.717	2.373	20	2.362	2.357	-0.04	0.94	0.771
m13c0r701.htb	0.091	0.436	70	1.034	1.522	70	1.316	1.213	-0.507	0.451	0.421
m19c0r89.htb	0.517	0.811	12	2.054	3.377	12	3.003	2.815	0.581	0.819	0.803
m19c0r89.htb	0.042	0.238	96	0.588	1.14	96	1.127	1.121	0.234	0.195	0.282
m13c0r703b.htb	0.169	0.624	30	1.532	2.526	30	2.009	1.751	-1.991	0.281	0.967
m13c0r703b.htb	0.029	0.279	80	0.631	1.079	80	1.346	1.48	-0.464	0.414	0.144
m19c0r90.htb	0.233	0.382	24	1.761	2.445	24	1.98	1.748	-0.051	0.525	0.239
m19c0r90.htb	0.083	0.207	48	1.053	1.22	48	1.439	1.548	-0.271	0.284	0.131
m13c0r704.htb	0.271	0.549	30	1.788	2.818	30	2.385	2.168	-1.052	0.387	0.712
m13c0r704.htb	0.121	0.413	80	1.194	0.991	80	1.589	1.887	-0.459	0.556	0.271
m19c0r91.htb	0.605	0.767	12	2.43	2.623	12	3.276	3.603	0.491	0.663	0.872
m19c0r91.htb	0.218	0.4	24	1.46	1.951	24	1.92	1.904	1.158	0.562	0.239
m13c0r705.htb	0.459	0.747	30	1.566	1.634	30	1.771	1.839	-1.093	0.794	0.7
m13c0r705.htb	0.191	0.386	80	1.01	1.36	80	1.469	1.524	-0.889	0.54	0.232
m19c0r92.htb	0.001	0.298	48	0.087	0.729	48	0.869	0.939	-0.404	0.329	0.268
m19c0r92.htb	0.101	0.266	96	0.729	0.548	96	0.523	0.51	-0.449	0.219	0.313
m13c0r706.htb	0.502	0.864	30	2.04	1.657	30	2.096	2.315	0.327	0.836	0.893
m13c0r706.htb	0.101	0.529	80	0.917	1.3	80	1.299	1.299	0.465	0.559	0.498
m19c0r93.htb	0.134	0.534	24	1.233	2.235	24	1.979	1.851	0.094	0.415	0.653
m19c0r93.htb	0.062	0.344	96	0.839	1.358	96	1.024	0.857	-0.428	0.259	0.429
m13c0r707.htb	0.644	0.797	30	1.743	1.445	30	1.798	1.974	0.744	0.96	0.634
m13c0r707.htb	0.129	0.391	90	0.782	0.722	90	1.023	1.173	0.308	0.301	0.481
m19c0r94.htb	0.458	0.727	12	2.637	2.582	12	2.633	2.659	-1.269	0.542	0.913
m19c0r94.htb	0.053	0.236	96	0.898	1.031	96	1.277	1.4	0.116	0.189	0.283
m13c0r708b.htb	0.552	0.77	30	1.518	1.662	30	2.008	2.182	-0.522	0.7	0.841
m13c0r708b.htb	0.325	0.437	90	1.165	1.094	90	1.262	1.345	-0.089	0.436	0.439
m19c0r95.htb	0.187	0.822	24	1.642	1.72	24	1.793	1.829	-0.071	0.773	0.871
m19c0r95.htb	0.071	0.438	48	1.011	0.99	48	1.437	1.66	0.43	0.632	0.244
m13c0r709.htb	0.898	1.025	10	2.834	3.349	10	3.037	2.88	-0.519	0.91	1.14
m13c0r709.htb	0.107	0.442	90	0.98	1.09	90	1.034	1.007	0.335	0.406	0.478
m13c0r709.htb	0.898	1.025	10	2.834	3.349	10	3.037	2.88	-0.519	0.91	1.14
m13c0r709.htb	0.107	0.442	90	0.98	1.09	90	1.034	1.007	0.335	0.406	0.478
m19c0r96.htb	0.199	0.842	12	1.821	1.221	12	2.027	2.431	-0.345	0.705	0.979
m19c0r96.htb	0.087	0.494	24	1.203	1.506	24	1.634	1.698	-0.295	0.287	0.7
m19c0r97.htb	0.052	0.626	48	0.983	1.413	48	1.156	1.027	-0.188	0.516	0.737
m19c0r97.htb	0.029	0.346	96	0.733	1.152	96	1.077	1.04	-0.434	0.244	0.449
