FILE	 Wves_predicted	 Wves_actual	 coherence	 thresh_predicted	 thresh_actual_d0	 coherence	 thresh_actual_all	 thresh_actual_pm	 bias_delta0	 Wves_actual_minus	 Wves_actual_plus
m24c158r2.htb	0.78	0.493	16	21.799	16.591	16	21.958	24.642	-0.515	0.954	0.032
m24c158r2.htb	0.441	0.565	60	16.399	14.588	60	13.435	12.858	-1.115	0.662	0.469
m24c158r2.htb	0.71	0.837	16	14.905	10.62	16	14.206	15.999	0.168	0.76	0.914
m24c158r2.htb	0.237	0.379	60	8.611	8.354	60	7.157	6.558	1.95	0.583	0.175
m24c158r2.htb	0.71	0.808	16	14.905	13.729	16	14.136	14.339	0.837	0.77	0.845
m24c158r2.htb	0.224	0.333	60	8.38	10.462	60	7.816	6.493	1.657	0.51	0.157
m24c155r2.htb	0.49	0.486	16	9.438	7.13	16	6.775	6.598	-0.965	0.363	0.609
m24c155r2.htb	0.089	0.123	60	4.019	2.84	60	2.886	2.91	0.059	0.053	0.193
m24c155r2.htb	0.549	0.517	16	8.206	8.431	16	7.461	6.976	-0.563	0.315	0.719
m24c155r2.htb	0.089	0.108	60	3.301	2.485	60	2.606	2.666	-0.073	-0.06	0.276
m24c154r2.htb	0.112	0.608	16	18.681	19.427	16	20.414	20.907	-0.568	0.348	0.868
m24c154r2.htb	0.113	-0.336	60	18.822	17.205	60	18.458	19.084	-0.848	-0.457	-0.216
m24c153r2.htb	0.777	0.925	16	26.743	79.163	16	49.696	34.963	2.668	-0.522	2.373
m24c153r2.htb	0.278	0.218	60	16.007	70.505	60	38.072	21.855	11.559	2.14	-1.705
m24c144r2.htb	0.998	-4.229	16	14.691	18.507	16	109.402	154.85	-0.627	-0.914	-7.543
m24c144r2.htb	0.237	0.197	60	7.165	9.587	60	12.447	13.877	-4.573	-0.108	0.502
m24c140r2.htb	0.265	0.939	16	9.266	12.863	16	11.965	11.516	-1.734	0.533	1.345
m24c140r2.htb	0.064	-0.068	60	4.549	2.422	60	2.469	2.493	-0.919	-0.155	0.019
m24c138r2.htb	0.995	1.012	16	22.235	6.113	16	7.548	8.266	-1.495	0.979	1.044
m24c138r2.htb	0.773	0.028	60	19.604	18.481	60	22.897	25.106	1.426	1.613	-1.558
m24c134r2.htb	0.97	0.954	16	9.154	15.393	16	11.276	9.217	1.055	1.485	0.423
m24c134r2.htb	0.993	1.827	60	9.263	28.545	60	26.786	25.906	7.374	1.241	2.412
m24c134r2.htb	0.999	1.051	16	10.224	17.453	16	11.975	9.235	1.761	1.42	0.682
m24c134r2.htb	0.999	1.066	60	10.224	31.053	60	23.424	19.609	7.574	1.448	0.685
m24c133r3.htb	0.43	0.641	16	17.109	19.038	16	17.456	16.665	9.626	0.868	0.414
m24c133r3.htb	0.054	-0.1	60	6.084	6.882	60	5.457	4.745	-0.867	-0.056	-0.144
m24c129r2.htb	0.917	2.114	16	20.523	16.184	16	21.183	23.682	3.439	0.918	3.309
m24c129r2.htb	0.796	-1.621	60	19.122	300	60	157.878	86.817	-20.689	-7.234	3.992
m24c127r2.htb	0.673	0.605	16	7.322	3.278	16	3.319	3.339	-0.807	0.435	0.776
m24c127r2.htb	0.206	0.144	60	4.05	2.168	60	2.269	2.319	0.577	0.191	0.097
m24c125r2.htb	0.975	5.177	16	44.539	25.852	16	88.594	119.965	2.773	4.37	5.985
m24c125r2.htb	0.182	-3.146	60	19.242	168.371	60	104.108	71.977	-25.831	-10.641	4.349
m24c125r2.htb	0.724	0.319	16	104.35	38.759	16	49.65	55.096	-0.567	0.597	0.04
m24c125r2.htb	0.138	-0.147	60	45.55	31.391	60	26.121	23.487	3.038	0.065	-0.36
m24c119r2.htb	0.566	0.627	16	5.904	3.643	16	3.089	2.811	0.294	0.8	0.454
m24c119r2.htb	0.05	0.152	60	1.764	2.1	60	2.061	2.041	-0.044	0.041	0.263
m24c38r2.htb	0.8	0.759	16	6.362	3.437	16	3.35	3.306	0.217	0.779	0.738
m24c38r2.htb	0.079	0.157	60	2.005	1.291	60	1.433	1.504	-0.206	0.24	0.075
m24c118r2.htb	0.983	0.173	16	39.229	300	16	112.91	19.366	-59.311	-21.107	21.453
