FILE	 azimuth	 stim_type	 delta	 coherence	 bias	 bias_lower	 bias_upper	 thresh	 thresh_lower	 thresh_upper	 pct_correct	 num_reps	 norm_rev
m24c0r229.htb	90.000	2.000	0.000	15.000	0.091	-0.684	1.439	3.037	1.941	5.000	0.723	15.000	AllTrials	
m24c0r229.htb	90.000	2.000	0.000	50.000	-0.039	-0.485	0.386	1.210	0.939	 NaN	0.832	15.000	AllTrials	
m24c0r229.htb	90.000	3.000	-3.000	15.000	-1.404	-2.327	-0.806	1.820	1.293	3.147	0.751	15.000	AllTrials	
m24c0r229.htb	90.000	3.000	-3.000	50.000	0.681	0.224	1.366	1.250	0.704	2.575	0.864	15.000	AllTrials	
m24c0r229.htb	90.000	3.000	0.000	15.000	-0.339	-1.228	0.528	3.021	2.180	4.863	0.743	15.000	AllTrials	
m24c0r229.htb	90.000	3.000	0.000	50.000	0.056	-0.327	0.477	0.932	0.609	1.810	0.866	15.000	AllTrials	
m24c0r229.htb	90.000	3.000	3.000	15.000	0.026	-0.509	0.588	1.515	0.979	 NaN	0.846	15.000	AllTrials	
m24c0r229.htb	90.000	3.000	3.000	50.000	-0.974	-1.230	-0.917	0.144	 NaN	0.276	0.777	15.000	AllTrials	
m18c0r155.htb	90.000	1.000	0.000	15.000	4.018	1.807	8.272	4.935	2.526	12.905	0.661	8.000	AllTrials	
m18c0r155.htb	90.000	2.000	0.000	15.000	1.787	0.830	3.296	2.324	1.451	 NaN	0.768	8.000	AllTrials	
m18c0r155.htb	90.000	2.000	0.000	50.000	0.560	0.000	1.411	1.268	0.777	 NaN	0.893	8.000	AllTrials	
m18c0r155.htb	90.000	3.000	-2.000	15.000	0.798	-0.185	1.968	2.323	1.127	4.022	0.821	8.000	AllTrials	
m18c0r155.htb	90.000	3.000	-2.000	50.000	1.138	0.204	2.438	2.131	1.217	 NaN	0.821	8.000	AllTrials	
m18c0r155.htb	90.000	3.000	0.000	15.000	0.567	-0.437	1.690	2.430	1.186	4.414	0.768	8.000	AllTrials	
m18c0r155.htb	90.000	3.000	0.000	50.000	0.283	-0.165	0.891	0.855	0.576	 NaN	0.929	8.000	AllTrials	
m18c0r155.htb	90.000	3.000	2.000	15.000	-0.838	-2.130	0.181	2.639	1.382	4.987	0.714	8.000	AllTrials	
m18c0r155.htb	90.000	3.000	2.000	50.000	-0.112	-0.559	0.381	0.837	0.279	1.632	0.875	8.000	AllTrials	
m24c0r230.htb	90.000	1.000	0.000	10.000	-1.300	-2.052	-0.784	1.902	1.313	2.890	0.752	19.000	AllTrials	
m24c0r230.htb	90.000	2.000	0.000	10.000	-3.346	-22.144	2.171	21.410	9.897	4280.037	0.556	19.000	AllTrials	
m24c0r230.htb	90.000	2.000	0.000	50.000	-0.086	-0.436	0.194	0.860	0.604	1.433	0.887	19.000	AllTrials	
m24c0r230.htb	90.000	3.000	-5.000	10.000	-3.138	-4.575	-2.202	2.840	1.912	4.711	0.677	19.000	AllTrials	
m24c0r230.htb	90.000	3.000	-5.000	50.000	2.266	1.532	2.591	0.680	0.300	 NaN	0.820	19.000	AllTrials	
m24c0r230.htb	90.000	3.000	0.000	10.000	-0.798	-1.758	-0.040	3.059	2.275	4.412	0.744	19.000	AllTrials	
m24c0r230.htb	90.000	3.000	0.000	50.000	-0.276	-0.712	0.091	1.121	0.842	 NaN	0.865	19.000	AllTrials	
m24c0r230.htb	90.000	3.000	5.000	10.000	0.455	-0.242	1.259	2.738	1.946	3.904	0.789	19.000	AllTrials	
m24c0r230.htb	90.000	3.000	5.000	50.000	-2.245	-2.800	-1.726	1.194	0.741	1.992	0.692	19.000	AllTrials	
m18c0r151.htb	90.000	1.000	0.000	25.000	-3.799	-8.947	-1.913	6.117	3.302	12.682	0.675	13.000	AllTrials	
m18c0r151.htb	90.000	2.000	0.000	25.000	0.970	-0.127	1.693	1.794	1.026	3.686	0.821	13.000	AllTrials	
m18c0r151.htb	90.000	2.000	0.000	70.000	0.253	-0.740	0.937	1.448	0.702	2.681	0.880	13.000	AllTrials	
m18c0r151.htb	90.000	3.000	-2.000	25.000	-4.324	 NaN	-4.085	1.447	0.715	 NaN	0.702	13.000	AllTrials	
m18c0r151.htb	90.000	3.000	-2.000	70.000	-0.222	-0.916	0.542	0.834	0.335	2.091	0.940	13.000	AllTrials	
m18c0r151.htb	90.000	3.000	0.000	25.000	-2.670	-3.618	-1.944	1.697	1.091	 NaN	0.786	13.000	AllTrials	
m18c0r151.htb	90.000	3.000	0.000	70.000	-1.893	-2.800	-1.064	0.847	0.263	1.819	0.833	13.000	AllTrials	
m18c0r151.htb	90.000	3.000	2.000	25.000	-3.199	-5.118	-2.249	2.579	1.654	 NaN	0.750	13.000	AllTrials	
m18c0r151.htb	90.000	3.000	2.000	70.000	-2.114	-3.025	-1.476	1.494	0.917	 NaN	0.821	13.000	AllTrials	
m18c0r152.htb	90.000	1.000	0.000	25.000	-0.263	-1.740	0.859	3.660	2.268	7.758	0.738	9.000	AllTrials	
m18c0r152.htb	90.000	2.000	0.000	25.000	1.529	0.479	2.442	1.561	0.729	3.565	0.824	9.000	AllTrials	
m18c0r152.htb	90.000	2.000	0.000	70.000	0.888	0.199	1.627	1.345	0.731	 NaN	0.857	9.000	AllTrials	
m18c0r152.htb	90.000	3.000	-2.000	25.000	-2.703	-4.319	-1.807	2.422	1.658	 NaN	0.646	9.000	AllTrials	
m18c0r152.htb	90.000	3.000	-2.000	70.000	0.029	-0.555	0.491	0.853	0.206	1.945	0.871	9.000	AllTrials	
