FILE	        ThreshVeMU	, ThreshViMU	,ThreshComMU	,CorrcoefVeSUMU	,CorrcoefViSUMU	,CorrcoefComSUMU	,noiseVe	,noiseVi	,noiseCom	
m5c92r2.htb	 300.000	 38.556	 300.000	 0.191	 0.041	 0.413	 0.179	 0.021	 0.047	 
m5c95r2.htb	 20.480	 40.709	 23.390	 -0.175	 -0.472	 0.559	 0.362	 0.741	 0.519	 
m5c100r2.htb	 49.297	 44.773	 40.882	 0.914	 0.894	 0.940	 0.634	 0.616	 0.646	 
m5c103r2.htb	 19.578	 60.968	 19.731	 0.857	 0.354	 0.490	 0.134	 0.170	 0.231	 
m5c107r2.htb	 51.196	 93.189	 33.537	 0.256	 0.414	 0.510	 0.255	 0.045	 0.002	 
m5c108r3.htb	 162.493	 37.715	 20.365	 0.305	 0.815	 0.961	 0.144	 0.633	 0.478	 
m5c109r2.htb	 77.495	 61.567	 229.089	 0.421	 0.900	 0.949	 0.589	 0.683	 0.627	 
m5c111r2.htb	 58.822	 21.013	 23.640	 -0.083	 0.736	 0.277	 0.040	 0.337	 0.177	 
m5c118r2.htb	 300.000	 63.847	 300.000	 -0.337	 0.288	 -0.766	 -0.138	 0.363	 0.115	 
m5c125r2.htb	 40.473	 32.351	 300.000	 0.231	 0.924	 0.750	 0.225	 0.308	 0.233	 
m5c128r2.htb	 232.055	 24.242	 16.269	 0.730	 0.975	 0.937	 0.461	 0.648	 0.683	 
m5c129r2.htb	 29.785	 19.178	 300.000	 0.029	 0.942	 0.808	 0.278	 0.360	 0.243	 
m5c135r2.htb	 300.000	 185.134	 28.927	 -0.525	 0.553	 0.765	 0.478	 0.596	 0.453	 
m5c140r2.htb	 300.000	 119.533	 171.432	 -0.235	 0.441	 -0.724	 0.100	 -0.116	 -0.154	 
m5c152r2.htb	 52.573	 108.391	 41.384	 0.732	 -0.771	 0.282	 0.172	 0.266	 0.231	 
m5c154r2.htb	 50.343	 22.584	 42.286	 0.899	 0.945	 0.821	 0.035	 0.067	 0.048	 
m5c156r2.htb	 36.459	 190.279	 21.952	 -0.166	 0.551	 0.118	 0.110	 0.209	 0.078	 
m5c159r2.htb	 79.038	 300.000	 112.090	 0.730	 0.158	 0.558	 0.520	 0.204	 0.165	 
m5c163r2.htb	 60.377	 23.957	 300.000	 0.810	 0.956	 0.894	 0.163	 0.367	 0.304	 
m5c166r2.htb	 300.000	 74.020	 66.554	 0.591	 0.693	 0.820	 0.418	 0.424	 0.500	 
m5c167r2.htb	 33.843	 27.232	 300.000	 0.907	 0.649	 0.251	 -0.111	 0.149	 -0.066	 
m5c170r2.htb	 38.550	 19.601	 57.301	 0.885	 0.835	 0.171	 0.617	 0.390	 0.457	 
m5c222r5.htb	 59.975	 16.024	 19.523	 0.785	 0.792	 0.772	 -0.028	 0.227	 0.442	 
