FILE 10_bias 20_bias 30_bias 10_thresh 20_thresh 30_thresh 11_bias 21_bias 31_bias 11_thresh 21_thresh 31_thresh 1_shift_p 2_shift_p 3_shift_p 1_slope_p 2_slope_p 3_slope_p	
m5c627r3.htb 0.731 0.848 1.061 1.383 1.828 1.353 0.568 -0.160 0.538 1.280 2.211 1.201 0.711 0.004 0.079 0.789 0.457 0.628 
m5c627r4.htb -0.638 0.942 -0.418 0.707 0.783 0.343 
m5c627r7.htb -0.361 0.986 -0.421 1.167 0.845 0.829 
m5c631r3.htb 0.464 1.288 0.999 1.954 1.669 2.014 0.251 -0.370 0.907 1.740 1.917 1.914 0.605 0.000 0.902 0.678 0.552 0.860 
m5c631r4.htb -0.434 0.964 -0.582 0.640 0.026 0.233 
m5c634r3.htb -0.319 0.782 0.298 1.040 1.607 1.397 -0.552 0.240 0.151 1.321 2.373 1.201 0.546 0.047 0.668 0.392 0.205 0.381 
m5c634r4.htb -0.244 0.692 -0.336 0.887 0.708 0.653 
m5c638r3.htb -0.477 0.108 -0.077 1.505 1.609 1.173 0.132 1.919 0.473 1.507 2.359 1.079 0.023 0.000 0.004 0.840 0.160 0.938 
m5c638r4.htb -0.650 0.739 0.050 0.513 0.000 0.558 
m5c642r3.htb 0.088 -0.328 0.073 1.358 2.194 1.145 0.170 0.186 0.313 1.125 1.414 1.275 0.801 0.087 0.237 0.783 0.101 0.684 
m5c646r3.htb 0.495 -1.067 0.366 2.087 1.749 1.128 0.713 0.322 0.725 1.083 1.685 1.373 0.032 0.000 0.274 0.012 0.897 0.457 
m5c650r3.htb -1.349 1.307 0.231 1.699 0.000 0.170 
m5c650r3.htb -1.586 -1.310 1.703 1.048 1.648 -0.720 1.507 0.745 0.000 0.247 0.588 0.213 
m5c654r3.htb 0.850 -0.109 0.567 1.255 2.466 1.244 0.590 -1.055 0.438 1.150 2.054 0.818 0.582 0.006 0.684 0.836 0.470 0.996 
