 FILE	        neuro1 	 neuro2 	 stim 	 pref1 	 p1 	 pref2 	 p2 	 DiffPref 	 noisecorrelation
m17c11r2.htb	 2.0000	 3.0000	 1.0000	 256.9170	 0.4539	 256.9170	 0.0735	 98.5557	 0.0162	 
m17c11r2.htb	 2.0000	 3.0000	 2.0000	 79.5954	 0.0000	 79.5954	 0.0000	 61.7307	 -0.0496	 
m17c12r1.htb	 1.0000	 2.0000	 2.0000	 79.4262	 0.0037	 79.4262	 0.0000	 40.0743	 -0.0219	 
m17c12r1.htb	 1.0000	 3.0000	 2.0000	 79.4262	 0.0037	 79.4262	 0.0000	 69.0927	 0.1469	 
m17c12r1.htb	 2.0000	 3.0000	 2.0000	 119.5005	 0.0000	 119.5005	 0.0000	 29.0184	 -0.0974	 
m17c12r2.htb	 1.0000	 2.0000	 1.0000	 305.1783	 0.6337	 305.1783	 0.0004	 204.4293	 -0.3853	 
m17c12r2.htb	 1.0000	 2.0000	 2.0000	 107.5818	 0.0045	 107.5818	 0.0003	 1.7234	 -0.1710	 
m17c12r2.htb	 1.0000	 3.0000	 1.0000	 305.1783	 0.6337	 305.1783	 0.4518	 6.3282	 -0.0768	 
m17c12r2.htb	 1.0000	 3.0000	 2.0000	 107.5818	 0.0045	 107.5818	 0.0000	 49.4584	 0.0375	 
m17c12r2.htb	 2.0000	 3.0000	 1.0000	 100.7490	 0.0004	 100.7490	 0.4518	 198.1011	 -0.0258	 
m17c12r2.htb	 2.0000	 3.0000	 2.0000	 105.8584	 0.0003	 105.8584	 0.0000	 51.1818	 0.0805	 
m17c13r1.htb	 1.0000	 2.0000	 1.0000	 333.7398	 0.0000	 333.7398	 0.0000	 182.5708	 0.0149	 
m17c13r1.htb	 1.0000	 2.0000	 2.0000	 151.9268	 0.0000	 151.9268	 0.0000	 115.6482	 0.0532	 
m17c15r1.htb	 1.0000	 2.0000	 1.0000	 7.3317	 0.0000	 7.3317	 0.1239	 218.9348	 0.2904	 
m17c15r1.htb	 1.0000	 2.0000	 2.0000	 169.9392	 0.0000	 169.9392	 0.0012	 85.3072	 0.0159	 
m17c16r1.htb	 1.0000	 2.0000	 1.0000	 291.3774	 0.0329	 291.3774	 0.0000	 26.3927	 0.0732	 
m17c16r1.htb	 1.0000	 2.0000	 2.0000	 53.4733	 0.0004	 53.4733	 0.0000	 232.8028	 0.3261	 
m17c18r1.htb	 1.0000	 2.0000	 1.0000	 189.5622	 0.5953	 189.5622	 0.5929	 114.4960	 0.0128	 
m17c18r1.htb	 1.0000	 2.0000	 2.0000	 239.9536	 0.0000	 239.9536	 0.0000	 120.6207	 0.0106	 
m17c20r1.htb	 1.0000	 2.0000	 1.0000	 347.4554	 0.6598	 347.4554	 0.6810	 29.0431	 0.0309	 
m17c20r1.htb	 1.0000	 2.0000	 2.0000	 327.9230	 0.0000	 327.9230	 0.0000	 127.2578	 -0.0871	 
m17c21r1.htb	 1.0000	 2.0000	 1.0000	 6.9386	 0.0002	 6.9386	 0.1410	 4.2702	 0.0885	 
m17c21r1.htb	 1.0000	 2.0000	 2.0000	 258.0177	 0.0042	 258.0177	 0.0000	 52.8500	 0.0866	 
m17c23r1.htb	 1.0000	 2.0000	 1.0000	 332.9657	 0.4940	 332.9657	 0.2595	 186.4437	 -0.0176	 
m17c23r1.htb	 1.0000	 2.0000	 2.0000	 162.7062	 0.0000	 162.7062	 0.0000	 43.4674	 -0.1083	 
m17c23r1.htb	 1.0000	 3.0000	 1.0000	 332.9657	 0.4940	 332.9657	 0.1998	 42.1440	 0.1040	 
m17c23r1.htb	 1.0000	 3.0000	 2.0000	 162.7062	 0.0000	 162.7062	 0.0136	 40.0785	 0.0626	 
m17c23r1.htb	 2.0000	 3.0000	 1.0000	 146.5221	 0.2595	 146.5221	 0.1998	 144.2997	 0.0532	 
m17c23r1.htb	 2.0000	 3.0000	 2.0000	 206.1736	 0.0000	 206.1736	 0.0136	 3.3889	 -0.0584	 
m17c25r1.htb	 1.0000	 2.0000	 1.0000	 77.7153	 0.0425	 77.7153	 0.3547	 32.1898	 -0.0476	 
m17c25r1.htb	 1.0000	 2.0000	 2.0000	 187.6224	 0.0699	 187.6224	 0.0000	 138.6724	 -0.0121	 
m17c26r1.htb	 1.0000	 2.0000	 1.0000	 55.4422	 0.0678	 55.4422	 0.5386	 0.3336	 -0.0010	 
m17c26r1.htb	 1.0000	 2.0000	 2.0000	 64.6972	 0.1976	 64.6972	 0.1732	 45.3630	 0.1062	 
m17c26r1.htb	 1.0000	 3.0000	 1.0000	 55.4422	 0.0678	 55.4422	 0.8860	 34.3689	 0.1950	 
m17c26r1.htb	 1.0000	 3.0000	 2.0000	 64.6972	 0.1976	 64.6972	 0.1394	 21.7044	 0.1679	 
m17c26r1.htb	 1.0000	 4.0000	 1.0000	 55.4422	 0.0678	 55.4422	 0.0125	 38.3093	 -0.3301	 
m17c26r1.htb	 1.0000	 4.0000	 2.0000	 64.6972	 0.1976	 64.6972	 0.0000	 152.1566	 0.0138	 
m17c26r1.htb	 2.0000	 3.0000	 1.0000	 55.1086	 0.5386	 55.1086	 0.8860	 34.0353	 -0.1261	 
m17c26r1.htb	 2.0000	 3.0000	 2.0000	 19.3342	 0.1732	 19.3342	 0.1394	 67.0674	 -0.0987	 
m17c26r1.htb	 2.0000	 4.0000	 1.0000	 55.1086	 0.5386	 55.1086	 0.0125	 37.9756	 0.2117	 
m17c26r1.htb	 2.0000	 4.0000	 2.0000	 19.3342	 0.1732	 19.3342	 0.0000	 197.5196	 0.0035	 
m17c26r1.htb	 3.0000	 4.0000	 1.0000	 21.0733	 0.8860	 21.0733	 0.0125	 3.9404	 0.0503	 
m17c26r1.htb	 3.0000	 4.0000	 2.0000	 86.4016	 0.1394	 86.4016	 0.0000	 130.4522	 0.2239	 
m17c27r1.htb	 1.0000	 2.0000	 1.0000	 10.7991	 0.6553	 10.7991	 0.2563	 15.9674	 -0.0769	 
m17c27r1.htb	 1.0000	 2.0000	 2.0000	 193.6387	 0.7988	 193.6387	 0.0006	 60.6827	 0.2709	 
m17c27r1.htb	 1.0000	 3.0000	 1.0000	 10.7991	 0.6553	 10.7991	 0.8965	 228.1238	 -0.0290	 
m17c27r1.htb	 1.0000	 3.0000	 2.0000	 193.6387	 0.7988	 193.6387	 0.3064	 95.2797	 0.0883	 
m17c27r1.htb	 2.0000	 3.0000	 1.0000	 26.7665	 0.2563	 26.7665	 0.8965	 212.1564	 -0.0113	 
m17c27r1.htb	 2.0000	 3.0000	 2.0000	 132.9560	 0.0006	 132.9560	 0.3064	 155.9624	 -0.2514	 
m17c28r1.htb	 1.0000	 2.0000	 1.0000	 342.7846	 0.1193	 342.7846	 0.0754	 282.1514	 -0.1401	 
m17c28r1.htb	 1.0000	 2.0000	 2.0000	 248.5391	 0.0336	 248.5391	 0.6634	 194.9169	 -0.0377	 
m17c28r1.htb	 1.0000	 3.0000	 1.0000	 342.7846	 0.1193	 342.7846	 0.0017	 4.8293	 0.0601	 
m17c28r1.htb	 1.0000	 3.0000	 2.0000	 248.5391	 0.0336	 248.5391	 0.0469	 82.8194	 0.2596	 
m17c28r1.htb	 1.0000	 4.0000	 1.0000	 342.7846	 0.1193	 342.7846	 0.0000	 242.8620	 -0.1077	 
m17c28r1.htb	 1.0000	 4.0000	 2.0000	 248.5391	 0.0336	 248.5391	 0.0018	 28.8407	 0.1467	 
m17c28r1.htb	 2.0000	 3.0000	 1.0000	 60.6332	 0.0754	 60.6332	 0.0017	 286.9807	 0.0195	 
m17c28r1.htb	 2.0000	 3.0000	 2.0000	 53.6223	 0.6634	 53.6223	 0.0469	 277.7363	 0.2252	 
m17c28r1.htb	 2.0000	 4.0000	 1.0000	 60.6332	 0.0754	 60.6332	 0.0000	 39.2894	 -0.2364	 
m17c28r1.htb	 2.0000	 4.0000	 2.0000	 53.6223	 0.6634	 53.6223	 0.0018	 223.7575	 -0.3253	 
m17c28r1.htb	 3.0000	 4.0000	 1.0000	 347.6139	 0.0017	 347.6139	 0.0000	 247.6913	 -0.0433	 
m17c28r1.htb	 3.0000	 4.0000	 2.0000	 331.3586	 0.0469	 331.3586	 0.0018	 53.9788	 -0.1791	 
m17c29r1.htb	 1.0000	 2.0000	 1.0000	 356.9547	 0.0006	 356.9547	 0.0000	 353.1430	 -0.1054	 
m17c29r1.htb	 1.0000	 2.0000	 2.0000	 350.3848	 0.1299	 350.3848	 0.0022	 112.6724	 -0.0507	 
m17c30r1.htb	 1.0000	 2.0000	 1.0000	 7.6710	 0.0000	 7.6710	 0.0022	 7.8273	 0.0127	 
m17c30r1.htb	 1.0000	 2.0000	 2.0000	 283.0526	 0.0018	 283.0526	 0.0000	 244.8130	 -0.1906	 
m17c31r1.htb	 1.0000	 2.0000	 1.0000	 7.2419	 0.0522	 7.2419	 0.0000	 136.1076	 -0.0305	 
m17c31r1.htb	 1.0000	 2.0000	 2.0000	 355.5136	 0.0002	 355.5136	 0.0000	 229.1225	 -0.2252	 
m17c31r2.htb	 1.0000	 2.0000	 1.0000	 80.2831	 0.2490	 80.2831	 0.0000	 73.7430	 0.0523	 
m17c31r2.htb	 1.0000	 2.0000	 2.0000	 354.6122	 0.0000	 354.6122	 0.0000	 215.2830	 -0.1105	 
m17c31r3.htb	 1.0000	 2.0000	 1.0000	 162.5921	 0.0273	 162.5921	 0.0116	 23.4356	 -0.1753	 
m17c31r3.htb	 1.0000	 2.0000	 2.0000	 32.6970	 0.0010	 32.6970	 0.0078	 126.7361	 0.0886	 
m17c32r1.htb	 1.0000	 2.0000	 2.0000	 195.4703	 0.6712	 195.4703	 0.5070	 29.5231	 -0.1133	 
m17c13r1.htb	 1.0000	 2.0000	 1.0000	 333.7398	 0.0000	 333.7398	 0.0000	 182.5708	 0.0149	 
m17c13r1.htb	 1.0000	 2.0000	 2.0000	 151.9268	 0.0000	 151.9268	 0.0000	 115.6482	 0.0532	 
m17c33r1.htb	 1.0000	 2.0000	 1.0000	 38.1872	 NaN	 38.1872	 NaN	 2.7842	 0.7500	 
m17c33r1.htb	 1.0000	 2.0000	 2.0000	 339.3931	 NaN	 339.3931	 NaN	 167.5129	 0.7143	 
m17c33r1.htb	 1.0000	 2.0000	 1.0000	 38.1872	 NaN	 38.1872	 NaN	 2.7842	 0.7500	 
m17c33r1.htb	 1.0000	 2.0000	 2.0000	 339.3931	 NaN	 339.3931	 NaN	 167.5129	 0.7143	 
m17c34r1.htb	 1.0000	 2.0000	 1.0000	 243.8051	 0.5652	 243.8051	 0.0202	 9.9600	 -0.0060	 
m17c34r1.htb	 1.0000	 2.0000	 2.0000	 59.8996	 0.0088	 59.8996	 0.0085	 21.8787	 -0.4088	 
m17c34r1.htb	 1.0000	 2.0000	 1.0000	 180.0000	 0.4553	 180.0000	 0.4290	 135.0000	 0.0947	 
m17c34r1.htb	 1.0000	 2.0000	 2.0000	 208.6751	 0.1144	 208.6751	 0.1581	 160.6119	 -0.1422	 
m17c34r1.htb	 1.0000	 3.0000	 1.0000	 180.0000	 0.4553	 180.0000	 0.1311	 39.2415	 0.2757	 
m17c34r1.htb	 1.0000	 3.0000	 2.0000	 208.6751	 0.1144	 208.6751	 0.0031	 151.9821	 -0.2527	 
m17c34r1.htb	 2.0000	 3.0000	 1.0000	 315.0000	 0.4290	 315.0000	 0.1311	 95.7585	 0.2170	 
m17c34r1.htb	 2.0000	 3.0000	 2.0000	 48.0631	 0.1581	 48.0631	 0.0031	 8.6298	 -0.4067	 
m17c34r1.htb	 1.0000	 2.0000	 1.0000	 180.0000	 0.4553	 180.0000	 0.4290	 135.0000	 0.0947	 
m17c34r1.htb	 1.0000	 2.0000	 2.0000	 208.6751	 0.1144	 208.6751	 0.1581	 160.6119	 -0.1422	 
m17c34r1.htb	 1.0000	 3.0000	 1.0000	 180.0000	 0.4553	 180.0000	 0.1311	 39.2415	 0.2757	 
m17c34r1.htb	 1.0000	 3.0000	 2.0000	 208.6751	 0.1144	 208.6751	 0.0031	 151.9821	 -0.2527	 
