FILE	 Spon	 VesPref	 VisPref	 VesP	 VisP	 VesDDI	 VisDDI	 Congruency
m5c744r1.htb	 58.086	 262.927	 163.668	 0.177	 0.001	 -0.436	 1.771	 -0.155	 
m5c749r1.htb	 28.218	 277.539	 199.844	 0.707	 0.002	 -0.939	 5.196	 -0.074	 
m5c746r1.htb	 17.822	 319.926	 204.813	 0.291	 0.000	 0.000	 2.255	 -0.423	 
m5c748r1.htb	 30.693	 298.610	 226.523	 0.677	 0.000	 -0.535	 0.608	 0.289	 
m5c747r1.htb	 41.089	 77.817	 179.060	 0.980	 0.213	 -0.599	 -0.362	 -0.108	 
m5c751r1.htb	 14.191	 278.569	 15.566	 0.320	 0.001	 1.565	 -7.852	 0.418	 
m5c752r1.htb	 23.762	 297.319	 284.052	 0.027	 0.001	 -0.718	 -0.472	 0.543	 
m5c753r1.htb	 51.683	 233.285	 184.969	 0.004	 0.000	 0.141	 8.267	 0.398	 
m5c754r1.htb	 47.772	 290.736	 180.936	 0.316	 0.000	 -0.336	 11.692	 0.011	 
m5c756r1.htb	 11.551	 337.599	 174.678	 0.229	 0.000	 -1.219	 6.342	 -0.343	 
m5c757r1.htb	 45.875	 26.312	 195.914	 0.536	 0.119	 -1.850	 -0.973	 -0.300	 
m5c758r1.htb	 25.413	 292.500	 238.024	 0.489	 0.004	 -1.058	 -1.394	 0.296	 
m5c760r1.htb	 18.482	 322.072	 222.440	 0.083	 0.001	 -3.403	 3.104	 0.024	 
m5c762r1.htb	 28.911	 11.666	 155.524	 0.569	 0.000	 -0.440	 4.938	 -0.180	 
m5c761r1.htb	 19.472	 337.395	 135.833	 0.915	 0.008	 -1.328	 2.764	 -0.634	 
m5c766r1.htb	 36.964	 299.297	 74.951	 0.069	 0.626	 -0.824	 -1.339	 -0.588	 
m5c765r1.htb	 56.931	 210.309	 319.992	 0.685	 0.000	 0.286	 -0.501	 0.400	 
m5c764r1.htb	 44.554	 231.830	 345.706	 0.947	 0.040	 -0.250	 -1.444	 0.144	 
m5c767r1.htb	 32.178	 200.004	 20.247	 0.861	 0.000	 -0.106	 -2.880	 -0.095	 
m5c769r1.htb	 80.528	 221.907	 172.908	 0.219	 0.000	 -1.877	 6.146	 0.010	 
m5c771r1.htb	 35.396	 24.119	 167.005	 0.454	 0.000	 -0.363	 5.637	 -0.067	 
m5c770r1.htb	 68.564	 232.256	 153.804	 0.704	 0.001	 1.365	 1.968	 0.074	 
m5c776r1.htb	 43.069	 183.203	 39.288	 0.732	 0.000	 -0.659	 -10.955	 -0.180	 
m5c777r1.htb	 63.960	 223.875	 25.418	 0.067	 0.000	 0.383	 -7.445	 -0.719	 
m5c775r1.htb	 47.525	 207.522	 28.246	 0.500	 0.000	 0.631	 -9.592	 -0.507	 
